id,peopleId,movieId,personName,name,peopleType
12142920,300157,201,Rade Serbedzija,Gregorovitch,Actor
12142921,454089,201,Jamie Campbell Bower,Young Gellert Grindelwald,Actor
12142922,351807,201,Hazel Douglas,Bathilda Bagshot,Actor
12142923,322198,201,Adrian Rawlins,James Potter,Actor
12142924,548450,201,Geraldine Somerville,Lily Potter,Actor
12142925,292017,201,Miranda Richardson,Rita Skeeter,Actor
12142926,375509,201,Graham Duff,Death Eater,Actor
12142927,465708,201,Domhnall Gleeson,Bill Weasley,Actor
12142928,260697,201,Carolyn Pickles,Charity Burbage,Actor
12142929,299855,201,George Harris,Kingsley Shacklebolt,Actor
12142930,445308,201,David Yates,,Director
12142933,321240,201,J.K. Rowling,,Producer
65517559,7864943,201,Robbie Coltrane,Rubeus Hagrid,Actor
65517562,8102368,201,James Phelps,Fred Weasley,Actor
65517563,8146549,201,Oliver Phelps,George Weasley,Actor
65570327,7864849,201,Dave Legeno,Fenrir Greyback,Actor
68993147,8173813,201,Steve Kloves,,Writer
68993148,8404056,201,David Barron,,Producer
68993149,7921161,201,David Heyman,,Producer
68993150,548958,201,Lionel Wigram,,Executive Producer
68994339,348524,201,Georgina Leonidas,Katie Bell,Actor
68994342,7966594,201,Devon Murray,Seamus Finnigan,Actor
68994343,7938012,201,Joshua Herdman,Gregory Goyle,Actor
68994344,8326409,201,Ian Kelly,Mr. Granger,Actor
68994346,7890205,201,Frances De La Tour,Olympe Maxime,Actor
68994347,7938808,201,Afshan Azad,Padma Patil,Actor
68994348,8197249,201,Suzanne Toase,Alecto Carrow,Actor
68994351,512612,201,Isabella Laughland,Leanne,Actor
68994353,9086672,201,Anna Shaffer,Romilda Vane,Actor
68994355,7990151,201,Louis Cordice,Blaise Zabini,Actor
68994356,255407,201,Andy Linden,Mundungus Fletcher,Actor
68994357,259637,201,Michael Byrne,Gellert Grindelwald,Actor
12141036,310820,142,Daniel Radcliffe,Harry Potter,Actor
12141037,356218,142,Rupert Grint,Ron Weasley,Actor
12141038,381676,142,Emma Watson,Hermione Granger,Actor
12141039,294150,142,Alan Rickman,Severus Snape,Actor
12141040,310851,142,Ralph Fiennes,Lord Voldemort,Actor
12141041,356982,142,Maggie Smith,Minerva McGonagall,Actor
12141042,360491,142,Helena Bonham Carter,Bellatrix Lestrange,Actor
12141043,646874,142,Bonnie Wright,Ginny Weasley,Actor
12141044,295544,142,Evanna Lynch,Luna Lovegood,Actor
12141045,333869,142,Matthew Lewis,Neville Longbottom,Actor
12141046,255178,142,Tom Felton,Draco Malfoy,Actor
12141047,487306,142,David Thewlis,Remus Lupin,Actor
12141048,346159,142,Jason Isaacs,Lucius Malfoy,Actor
12141049,8102501,142,Warwick Davis,Griphook,Actor
12141050,247861,142,Ciarán Hinds,Aberforth Dumbledore,Actor
12141051,7988338,142,Helen McCrory,Narcissa Malfoy,Actor
